Protein,Sample1,Sample1,Sample1,Sample1,Sample1,Sample2,Sample2,Sample2,Sample2,Sample2,Sample3,Sample3,Sample3,Sample3,Sample3,Sample4,Sample4,Sample4,Sample4,Sample4,Sample5,Sample5,Sample5,Sample5,Sample5,Sample6,Sample6,Sample6,Sample6,Sample6,Sample7,Sample7,Sample7,Sample7,Sample7,Sample8,Sample8,Sample8,Sample8,Sample8,Sample9,Sample9,Sample9,Sample9,Sample9,Sample10,Sample10,Sample10,Sample10,Sample10
A6NKF2,,,1171450,,,,,,,,,,,,,,,,,2137120,2041550,,,,,1572920,,,,186955,,,806023,,1798090,1252620,,,,,,,,,,,,,,
A6NKN8,,,,,,,,,164500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107212,,,,,,
A6NKT7,,,,,,,,,,,,,,,,,92498.5,102074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NLU5,,,,,,,,,,,,,,,,44455.6,,,,,,,,,,,,,,,,,42328.4,,,,,,,,,,,,,,,,,
A6NMY6,,,,,,,,,,,,,283470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286818,,,
A6NMZ7,270838,588015,,421555,,176809,572120,,515047,,,,,232589,,483131,180924,,425740,256341,,,329571,,,,,370065,,,,,237965,307050,,212160,,,,311293,,,,,,,,,574168,
A6NNZ2,,,,,,,,,,,3219410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3889030,
A7E2V4,,,,,,,,,,,,,,,,,1116820,,,,,,,,,,,,,,,1192490,891515,,,,,,,,607503,,,,,,,,,
A7E2Y1,,,,,,,,,,,,,,,,2254890,,2057930,,,,,,,,,,,,1646890,,,,,,1774450,,,,,1646360,,1584140,,,,,,1775690,1680810
A7KAX9,,,,,,,,,,,,,,,,,,,,,,4676840,,5983630,,,,,,,,4834610,,,,,,,,,3154420,,,,,,,,,
A7MBM2,,10659200,,,,,,6886720,,,10116600,15068900,,,,,,,,,,,,,,,,,6909930,,,,,,,,,,,,,,,,,,,,,
A8K2U0,4449250,4606760,4857550,4282580,4649100,3315220,5489720,4848090,,4846910,4000510,4401460,3400030,,2786220,3246250,,,3096230,,,,,,,2644610,3026180,2815340,3232300,3064130,,,,,,,,,,,,,1361910,,,,,,,
A8K7I4,,,283447,,,,,,320519,,,,,,,,,,,,,282928,,,,,,,,,,,,,,,,,,,319491,,,,,,,,,
A8MT19,,,,,,,,,,,,,,,,,,,,,,,,,727493,923505,,,,,,,,,,,,,,,,,,,442345,,,,,
A8MTJ3,593778,,,,,,,,,,,,649827,,,,,,,,,,,,,,,524945,,,,,,,,,,,,,,,,,,,,,,
A8MUH7,,,,,,,,,,,323753,,,,,,,,,,,,,,,,,,,,,,,,,,,227861,,,,,,,,,,,,
A8MUU1,9923100,,10183300,7671500,7004120,19341570.1,18678600,9811420,,11769800,12487500,17700700,18317100,11551600,16195500,13110300,13875935,10251000,15387200,11955098,8348900,8140660,9887050,9492450,4102660,11224400,8970140,,6316440,6999570,8409660,9582180,5112260,7203720,5461780,,7319150,10063800,5823370,,6075110,,7450530,10852100,,9460480,12840100,13566500,7631040,8655630
A8MVS5,,,,,,,,,,,,,87995.7,,,,,,,,,172373,,,,,,,,,,,,,,,,,,,,,,,148704,,,,,
A8MVW0,,,1213140,,,,,,,,,1237960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8MX76,,,,,,,,,,,,,,,,,,,,3182280,,,,2502850,,,,,,,,,,,,,,,,,,4171050,,,,,,,2508910,
A8MXV4,,,,,,,,,,,,,,448006,,,,,,,,,,,,,,,,,,,,,,,,,458808,,,,,,,,,,,
A8MZ36,,,,,,,,,,,,,,,,,,,,,126945,,,,150984,,,,,,,,,,,,147675,,,,,,,,,,,,,
A8TX70,,,,,,,,,,,,,,,,1649460,,,,,,,,,,,,,,,,,,,,,,,,,,,1769630,,,,,,,
A9Z1Z3,8812800,8856470,12021900,9976920,10113400,10630400,7743360,7131610,10612100,6408490,,8379340,7217270,8697810,6536740,,,,,,,,,,,,,,,,,,,,,,,,,,3246240,4617510,6354900,3232940,3338790,2743280,2336950,2593710,2411450,490907
B0FP48,,,,,,,,,,,332671,,,,,,,,,,,,,,,,,,,,,113789,,,,,,,,,,,,,,,,171110,,
B0I1T2,,,,,,,,,,,,,,,,,,,,,,,,,371326,,,,,,,,,,,,,,,,,,,,389862,,,,,
B2RPK0,,,,,48155.6,,,,,,,,,,,,,58255,,33291.2,,,,,43840,,36153.8,,,,,38313.3,,53041.4,,,,,,,,,,,35013.3,,,,,
B2RXH8,,,,,,,,,,2853880,,4293080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4DXR9,,,,,,,,,,,865934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041740,,,,
B5ME19,,,616622,,,,,,741614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7ZAQ6,,,,,,,,,,,,,,,,,,,,,,,64891.7,,,,,,,,,,,,,,,,,,106945,,,,,,,,,
B9A064,,327451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319938,,,,,,,,,,,,,,,,,,,
C9J798,,,45301400,,,63139400,,,,58824300,,52896000,,48857900,48345200,,72064900,61841400,,62563300,,57661000,,49058100,,,58245800,,56402300,,,,,,51035200,59730500,59251900,60239700,52014800,,76916000,,,73643800,74620200,30117000,28953800,,,
C9JLW8,,,,,,,,,,,,,,,,,,,,,842947,,,,1245230,,1005210,,,,,,,536441,,627397,,,,,,,,,,,,,,
C9JRZ8,,,,,,,,,,,,97214.3,,,,,,,,,109149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9PAV3,,,,,,,,367215,434354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H7BZ55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145157,208791,,,,,,,,
O00116,,,,,588795,,,,,,,,,611240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00139,,,,,,,,,,,,,,,,,,,,,,,,,,516680,,,512527,,,,,,,,,,,,,,,,,,,,,
O00142,,,,,,,,,,,1176600,,,1278190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00148,,,,,,,,,,,,,,,,,346588,,,,,,,,,,,,,,,,,,,,,,,,,,358375,,,,,,,
O00151,,,,,,,,,,,,,491503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505368,,,,,
O00154,,,,,,,,589893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426850,,,,,,,
O00159,,,,,,,,,,,87415.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87099.4,,,,,
O00160,,,,,,,,,,,,,,,,,,,,122006,,,,,,111028,,,,,,,,,,,,,,,,,,,,,,,,
O00161,,,,,,,,,,,,,,,,,,,,,,198865,,,,,,,,,,,,,,,220661,82615.3,,,178750,,,,,,,,,
O00165,,,,,,,,,,,,,,,,,,,392961,,,,,368667,,,,,,,,,,,,,,,,,,,,,,,,,,
O00170,,,,,,,,,,,,,,,,,,,,,,,2703330,,,,,,,,,,,,,,,,,,,,,,,,2967340,,,
O00178,,,,,,,,,,,,,,,,5227760,6666160,,6508920,4371520,5058550,,5612440,5797970,,,6225580,,,5382890,5942210,6890650,,,,,6919720,,4242080,,,,,,,,,,,
O00182,,356224,,,,,418244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321957,,,,343529,,,,,,
O00187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62797.9,,,,,,,62836.1,
O00192,,,,,,,,,,,,,,,,,,,,,,,,,145947,,,,,,,,,,,,,,156060,,,,,,,,,,,
O00193,,137861,,,,,,,,131799,,,,,,,144103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00194,,,,,,,,,,,,,,,,,,,,,,168984,,,,,,,,,,,,,,,,,,,,,,,,,,,,170600
O00203,847026,843984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00204,,,,,,,,931922,,,,,,,882038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00214,,1728670,,,994104,,2905810,,,2019410,,1871850,,,,,,,,1740130,,,,,,,,,,,,,,,,,,,3192180,,,1680330,,,,,,,,
O00231,,,,,,,,,,,,,,,,,,,,,,,,,,298666,,,,,,,,,,,,,324804,,,,,,,,,,,
O00232,,,197115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202060,,,,,,,,,,,,,,,,,
O00233,,,,1728360,,,,1529810,,,,,,,,,,,,,,,,,,,,,,,1843830,,,,,,,,,,,,,,,,,,,
O00241,,217039,,,,,,,,,242168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127684,,300197,,,
O00257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935840,,,,778675,,,,,,,,
O00264,,1971650,,,,,,,,,,,,,,,,,,,,,,,,,1893070,,1961290,,,,,2073470,,,,,,,,,,,,,,,,
O00267,23402900,,20366500,23531900,,16107200,,,28420900,,19434000,20356700,,22116300,,,21156200,,18624000,19771800,,20166600,14619000,17464900,16833600,18077700,15350800,12579400,18079600,,8712360,,18440600,20405900,16609000,17403100,14278400,,16171100,15008300,12712900,13062500,,,15002000,8531970,,8423480,,
O00273,1935920,,,,,,1826010,,,1321460,,,,,,,,,,,,,,,,,1272460,,,1158110,,,,,,,,,,,,,,,,,,,,
O00291,,296087,283995,,,,,,,,,,,,,,,,,,111721,,,324779,,,,,,276990,211264,229137,,155338,,,,301488,,350474,215695,,202728,,197065,,,,195081,327891
O00292,,,8171090,7252230,8141300,,,,,9289730,9263230,,9244420,,,8096340,7911610,,,6383810,,8828830,,,,,,,7244160,8011660,9073990,8980400,,,9046750,9887930,,8727620,10302400,9672800,,7018280,,7839510,,,,,7561620,8410980
O00299,,,,,7324770,,,,,,8057940,,,,,,,,13942100,,,,,,,,,,,,17497900,,,,,,14839000,,18849200,,16428200,,,12713400,14482100,,,,,4115650
O00303,,,,,2165270,,,,2583000,,,,,,,,,,,2402030,,,,,,,,,,,,,,,,,,2141030,,,,,,,,,,,,
O00308,,,,,,,,,,,,,,,,,,,,,,,,,,,160609,,,,,,,,,,,,,,,,,186997,,,114626,,,
O00330,,,,883316,,,,,,528642,,,1525570,,,,,,,,,,140700,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00338,,,,,,,,,,,,,,,,,,,,,,,,,,1169790,,,,,,,,,,,,,,,1430590,,,,,,,,,
O00339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351350,,,1401050
O00358,,,,,,,,,,208055,,,,,,,,,,,,,,,,,,,,,,345374,,,,,,,,,,,,,,,,,,
O00391,,,,,,,,,,,,,,,,,,,,142227,,,,,140834,,,,,,,,,,,,,,,,,,,,,,,,,
O00400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582200,,,1692570,,,,,,,,,,,,,,,
O00401,,,,,,,,,,,,,1108540,,,,,490865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00408,,,,,,395055,,,,,,,,,,,438439,,546217,,,,,366988,,368064,,,484727,204870,,,,,,,,,,,,,,,,,,,,
O00410,,,,,,,315899,,,,321884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00418,,,,,,,,,488123,,,,,,,,,,,,,,,,,,,,,,256760,,,,,,,,,,,,,,,,,,,
O00422,,,,,,,,586099,,,,,,,,,,674619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00423,,,,,,,,,,,,,,,,,,,,,,,,3706990,,,,,,,,,,,3911200,,,,,,,,,,,,,,,
O00429,,,,,,,,,204518,,,,,,,,,,,251821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00442,10058400,3556250,4936150,6958430,7837880,4795410,5972120,8853600,6123745,9283840,6649463,9896790,5118899,9526840,8588570,5471780,4733520,5885630,6250990,6171990,2745440,4726770,4840280,5802300,5674800,6445480,3683530,4237950,5472470,1535830,3917490,6551980,6598980,3943350,4222610,9208200,5522780,9775010,5491050,6583390,8005110,10874200,9326720,4545880,11190800,10979200,10188390,11731800,11501847,1621360
O00443,899154,,,,,,,,,736826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00461,,,,,,,,,,,,,,,,,,1216110,1077610,,,,,,,,,,,,,1176360,,,1120690,,,,,,,,,,,,,,,
O00462,,315671,,,,,283822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540404,,,606422,,,540234,,,,,,,,,,,
O00469,,,,,,,,,410622,,,360613,,,,,,,,,,,441806,,,,,,,,,,324519,,,,,,,,,,,,330723,,,,,
O00471,,662669,,,,,,,,,,,,650137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00476,,,80895.9,,,,,,,,,83838.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00487,,,,,,,,,,,,,,,,,,,,,,,,,,,,4441851,,,5072770,,,,,,,,,,,,,,,,,,,
O00499,,,,,,,3937020,,,,,3146780,10536300,,9992210,,,,,,13155800,8763200,,,,,,,,,,,,,,,,,,,19007100,15683700,,,,,,,,16115900
O00507,,,,,,,,,,,,,,,,,,,,103982,,,,,132134,,,,,,,,,,,,,,,,,,,,,,,,,
O00515,,,,,,,,,,,,,,75343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48539.7,,,,,,,196309
O00519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15615000,,,16379000,,17440700,,,,,,,21412500,,,,,
O00533,,82747.1,,,,,,,,,,,,,,,,,,,,,,86481,,,,,,,,,,,,,,,,,,,,,,,,,,
O00534,,,480623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534165,,,,,,
O00541,,,,,,,,,,,,,,1699160,1685460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00560,1153240,,,,,,,,,,,,,,,,,,1035120,,,,,,,,,884371,,,,,,,,,,,,,,,,,,,,,,
O00566,,,,,,,,,,,,,,,,,,530081,,410801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00567,,,,,,,,,,,,,,,,,,,,,,,,,,,647448,,718615,,,,,,,,,,,,,,,,,,,,,
O00571,,,,,,,,,,,193102,,,,,,,,,,,,,,,,,,,,,201658,,,,,,,,,,,,,,,,,,
O00584,,,,,,,,,351394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453263,,,,,,,,,,,
O00587,,,,,,158436,,,,,,,,,,,,,,870413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00592,,372426,,90996.7,,242764,,,190901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00602,,,,,,,,,,,,,,,,,,,,,,,188764,,,161673,,,,,,,,,165569,,,,,,,,,,,,,,,
O00622,,,,,,,,,,,,214662,,,,,,,,,,336616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00625,,89570.5,,,,,,,,,,,,,,,,,,58929.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00629,,,,,,,,,,,,,,,,,,,,,,,,,61454.4,,,,,,,,,,,,,,,604388,,,,,,,,,,
O00635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6680290,,,,,,,,,,,,,,,,,1534990,,,,1658760
O00743,,,,,,,,,,,,,,,,,1447650,,,,1392990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00748,,,,,,,,,,,,,,,,,,405678,,,,,,301559,,,,,,,,,,,,,,,,,,,,,,,,,,
O00750,,,,,,,264785,,,,,,,,,,,,,,288175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00754,,,,,,,,,,2226850,,,,,,2383010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O00755,,,,,,,,,,,,,,,,,,,,,,,53684.5,,,,,,,,88566.5,45341.1,,,,,,114159,,,,,,,,,,,,
O00757,430326,445198,169134,1030262,0,,1003810,,382637,,,1069200,,371553,,,115904,578866,,,,,,349536,,75915.6,,,,,248066.1,,,,,355842,,,335347,,426356,42325.7,,,,,,,,227908
O00762,,,,,,,,,,,,,,,,,,,,,,,,4002780,,,,,,,,,,,,,,,,,5304460,,,5405200,,,,,,
O00763,,,,,,,,,,,,719015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678528,,
O00764,,,,,,,,,,,,,,,,,,,,,4511970,,,,,,,,,,,,,,,,,,,,,,,,,,5115640,,,
O14490,,,,,,,,,,,,617374,,,,,655053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71357.4
O14495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453646,,375661,
O14497,,,,,,,,228984000,,,,,,,,,,,,,,195133000,,,,,,,,194444000,,,,,,,,,,,,,,,,,140859000,,,
O14498,,,,,,,226899,,,,,,,,,,,,,,,,,,,,,,,,,,240605,,,,,,,,,203041,,,,,,,235780,234111
O14525,,,,,,,,,751165,,,,,,,,,,,,,,834352,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390988,,,327826
O14531,,,,,,,,,,,,,,,,,,,,,,,,,,9471650,9615570,,,8326670,9824860,,,,,,,,,,9045800,,,,,,,,,
O14556,395540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483900,,,,,,,,,,,,,,,,,,
O14558,,,,,,,,,,,,,,,,,,,,,,,,,,7880220,,10059100,,,,9315300,,,10376600,,11762300,,,,,10879900,,,,,,,,
O14576,206966,,,,,,,,,,,,,,,171596,,,,,,,,,,,,,,,,,,,,,,,,,,,,841686,,,,,,
O14579,,,,,,,,,,,,,,,,,,,,5997200,,,,,,,,,,,,,,,,,,,,,,,6483920,4809090,,,,,,
O14594,36203700,,,34706400,31618800,35592400,42694100,,,,30538200,,32892900,,,,,28411600,29783900,35577100,22908200,30919500,,28931900,,24800600,30335300,25627600,26632500,24734500,29343800,,,,,,11141200,24972200,27987600,24770000,,23803500,20919800,20731700,24063000,,26097300,,11690400,23789000
O14602,1229597,,,,1060830,996187,,,,747400,,0,,,,945928,,1383600,,470947,,,,504666,,,1003210,1805363,780418,,799326,,,834084,615678,,,,,590884,,,,,,472436,,,439699,336147
O14613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217313,,,,,,,,,,,,242852,
O14617,,,,,,,,,859326,,,,,,,,,,,,,,,,902907,,,,,,,,,,,,,,,,,,,,,,,,,
O14618,,,,,,,,,,,,,,,,,,,281530,,,,,,,,,,,,,,,,,,257847,,359914,218942,,,,,,,,,,
O14638,,,,,,,,,,,,,,212517,,,,,214861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286735,,,,,316269
O14646,,,,,,,,,,,,,,,,,,,,,,,,,,,,3572610,,3523840,,,,,5340280,,,,,,,,,,,,,,,
O14653,,,,,,,,,,,,,,,,,,,,,,,,,2309190,,,,,,2374380,,,,,,,,,,,,,,,,,,,
O14657,,,,,,,,,,,,,,,,,,,,5818980,,,,,,,,,,,,,,4583400,,,,,,,,,,,,,,,,
O14672,,,,,,,,,,,,,,,,1317500,1236260,,,,,,,,,,,,,,,,,,,,,1545760,,,,,,,,,,,,
O14681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328289,,,,,601317,,,,
O14727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14384400,,,14776500,,,,,,,,,,,,,,,,
O14732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710395,,,,,,623740,,,,,,
O14733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943240,,1942430,,,,,,,,,,,,,,,,,,
O14735,,,,,,,,,,,,,,,,,,,396498,,,,,,,,,,,,,,,,,565864,,,,,,,,,,,,,,
O14737,,,,271330,,,,,,,,,,268209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14744,,,,,,,,,,,,,,,,,,276507,,,,,,,,,,,,,,,,,,,,,,,,,229223,,,,,,,
O14745,,,,,,,,,,,,,,,,,,2375350,,,,,,,,,,,,,,,,,,,,,,,2442970,,,,,,,,,
O14773,,,,,,,,,,,,,,,,,592710,,,,,,,,,,,,,,,,,,,586284,,,,,,,,,,,,,,
O14775,,313203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468513,,,,,,,,,,634157,,
O14776,,,,,,,,,,,,,,,,,,,,,,,,284599,,273270,,,,,,,,,,,,,,,,,,,,,,,,
O14786,,,1273934,,,,,,,,,,,,,,,,,,,,,1266164,,,,,,,,,,,,,,,,,,,,,,,,,,
O14787,,,,,,,,,341971,,,,,,,,,,,,,348369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14791,,,,,335268,,,,,,,,,335048,342143,,,,,,,,,326818,,,,,,,,,,,,,,,,,,,,,,,,,,
O14795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1417150,,,,,,,,,,1539780,,,,,,,,,
O14813,,59452.2,,,,,,,,,528682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14818,,,,,,,,,,,,,,,,3524320,,,,,,,,,,,,,,,,,,,,,,,,,,,3520920,,,,,,,
O14828,,641722,,,,,624819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14841,,,,,,,,,,,,,,201718,,,,,,,,142413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864597,849437
O14880,,,115671,,,,,,,,,127618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14896,,,225836,,,,329823,386914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172591,,,,,,,,,
O14907,363217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414722,,,,,,,,,,
O14908,,,,,,,,498005,744288,,,,,,,,,,942126,,,,,716100,,,,,,,,,,,,,,,,,,,,,,,,,,
O14910,,,,,,,,,,,,,,89955.8,,,125501,,,,,1976624,1050320,,,,,1666640,2193290,,,,3286885.6,1556170,,,,1075820,,,,,,,,,,,,425348.7
O14920,1309370,,903641,,,,,,866007,,,,,691840,,,,,733042,435855,,,,,,694665,,,,822131,,,,,,,,,,,,,,,475480,,,,,
O14929,,,1301610,1311440,,2583800,,3407230,,2022870,,,2670140,,,,5009250,6072710,2692740,5166830,,,,,3541500,,,,,,,,,,,,,,4312540,,4429560,,,,,,,,,
O14936,1392190,,,756403,,1496360,,664703,1191470,,1370360,1418930,,1393750,1468100,1496520,,1605640,,1766880,1772000,1662360,1661800,1786220,1357660,1629740,1127440,1026600,,1548280,1815660,1956160,,1780330,1659570,1357970,1274070,1226790,,,,,776564,810193,579743,,620668,554928,,592983
O14939,,,,,3631880,,5630330,,,5239730,5835260,,,,,,,,,,,,,,6858080,,8340770,6507960,,,,,,,,8091510,9745790,8627480,,,,8405080,,,,7569820,,7705940,,
O14950,,,,,,,713082,,,,,,,,,,,,,,,,,,,787499,,,,,,,,,,,,,,,,,,,,,,,,
O14964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137413,,,106840,65433.3
O14965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349730,,,,,,,,,,,1718860,,,,,,,
O14966,,31857.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47162.1,,,,,,,,,,,,
O14967,,,150176,,116531,,,,105782,,,,,,,,,,,,,,356885,,,,,,,,,,,,,,,,,87058,,,344440,,,,,,,
O14972,,,,1746530,,,,,1904070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14974,,,,,,,,,,,,,748694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665746,,,,,
O14975,,,,,,,,,,,,,,,,,,,,,,,697680,,,,,,,,,,,,,,,,,,,,695347,,,,,,,
O14976,,,614592,,,,,,,,,,,715232,551036,678770,,,,,,,,,,,351778,,,,,,,,,,,,,,,,,,,,,,,
O14979,,,,,,,3194160,,,,,,,,,,,,,,,,,,,,,,,,,,,,3481550,,,,,,,,,,3269840,,,,,
O14980,,,,,,,,,,,,,,,,295051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292758,,,
O14981,,,,,,,,2126100,,,,,,,,,,,,,,,,,,,,1964190,,,,,,,,,,,,,,,,,,,,,,
O14983,,,,,,,,,,,,,696183,,,,,,,,,,,700908,,,,,,,,,,,,,,,,,,,,,,,693400,,,
O14994,,1998150,,6817530,6277640,,,,,8071690,6605650,,,,,8034330,10497600,10820900,,,,,,,,9346230,,10169000,,,,8439230,,4635730,9042450,,10164500,6999610,8389220,,10052800,,,,9053780,,,4882680,,
O15013,,,,,,,,,,,,,,,,,678553,,728040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15020,,,40816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38155.4,,,,,,,,,,,
O15021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416130,2628860,,,,,,,,
O15027,,,,,,,,,,,,,3586000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3644810,,,
O15031,,,,,,,,,,,853696,,,846782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370180,,,,,1451830,,1064790,,1313900,,,,,
O15042,,,,,6040960,,5859260,,,,5251580,4477690,4286700,5194980,,,6164290,5910470,5634780,6207480,6455650,,,5494790,5225110,5623730,5645740,5899820,6237840,,5456390,5724450,,6366150,6185640,5398500,5216470,4986490,4928910,5521870,,5384710,5590190,5789390,4695710,3418040,3117580,,,
O15047,,,,,,,,,,,,,,,,,1097150,,,,,,,,,,,,,,,,585000,,,,,,,,,,,,,,,,,
O15061,,,,,,,,,,,,,,,,,,,303827,,,,,,,,,,,,,,,,,,,,,,294540,,,,,,,,,
O15067,,,,,,,,,,,,,,,,,,,1712020,,,,,,,1900130,,,,,,,,,,,,,,,,,,,,,,,,
O15069,224031,,,489296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15075,,,,,,,,,,,,,,,,,,,,387686,,,,,,,,,,,,,,503060,,,,,,,,,,,,,,,,
O15084,,,943938,,,,,,,,,,806882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15085,,1372810,,,680848,,,,,397530,,,989165,,,,,,,,,,726207,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403358,,,,482949,,,,,,,,,467432,,,,,
O15111,44010500,16155100,,,,,,,,,,,,,,,,,,,,,,,,,8378720,,,,,,,,,,,,,,,,53976600,1875170,,,,,,
O15116,,,,742025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648561,,,
